                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77105,                0.64324,                0.94595,                 1.6522,              0.0033259,              0.0033259,              0.0033259
                      2,                0.30731,                0.81622,                0.99459,                 1.4368,              0.0065933,              0.0065933,              0.0065933
                      3,                0.16185,                0.85946,                      1,                 1.3919,              0.0097947,              0.0097947,              0.0097947
                      4,                0.12646,                0.89189,                      1,                 1.3669,               0.009703,               0.009703,               0.009703
                      5,                0.09855,                 0.9027,                0.99459,                 1.3534,               0.009703,               0.009703,               0.009703
                      6,                0.08594,                 0.8973,                0.99459,                 1.3546,               0.009604,               0.009604,               0.009604
                      7,                0.07834,                0.88108,                0.98378,                  1.352,               0.009505,               0.009505,               0.009505
                      8,                0.07251,                0.87027,                0.99459,                 1.3607,               0.009406,               0.009406,               0.009406
                      9,                0.05859,                0.88108,                0.99459,                 1.3486,               0.009307,               0.009307,               0.009307
                     10,                0.06297,                0.88649,                0.99459,                 1.3556,               0.009208,               0.009208,               0.009208
                     11,                0.05439,                0.86486,                      1,                 1.3522,               0.009109,               0.009109,               0.009109
                     12,                0.04729,                0.88649,                      1,                 1.3452,                0.00901,                0.00901,                0.00901
                     13,                0.04655,                0.91351,                      1,                 1.3397,               0.008911,               0.008911,               0.008911
                     14,                0.04503,                 0.8973,                0.99459,                 1.3398,               0.008812,               0.008812,               0.008812
                     15,                0.03971,                0.92973,                      1,                 1.3358,               0.008713,               0.008713,               0.008713
                     16,                0.03837,                0.91351,                      1,                 1.3366,               0.008614,               0.008614,               0.008614
                     17,                0.03414,                0.89189,                0.99459,                 1.3439,               0.008515,               0.008515,               0.008515
                     18,                0.03554,                0.88108,                      1,                  1.341,               0.008416,               0.008416,               0.008416
                     19,                 0.0336,                 0.9027,                0.98919,                 1.3345,               0.008317,               0.008317,               0.008317
                     20,                0.02958,                0.88108,                      1,                 1.3436,               0.008218,               0.008218,               0.008218
                     21,                0.02505,                0.88649,                      1,                 1.3416,               0.008119,               0.008119,               0.008119
                     22,                 0.0289,                 0.9027,                      1,                 1.3376,                0.00802,                0.00802,                0.00802
                     23,                0.02695,                0.90811,                      1,                 1.3333,               0.007921,               0.007921,               0.007921
                     24,                0.02577,                0.90811,                      1,                 1.3317,               0.007822,               0.007822,               0.007822
                     25,                0.02418,                 0.9027,                      1,                 1.3329,               0.007723,               0.007723,               0.007723
                     26,                0.02368,                 0.9027,                      1,                 1.3341,               0.007624,               0.007624,               0.007624
                     27,                0.02088,                 0.9027,                      1,                  1.335,               0.007525,               0.007525,               0.007525
                     28,                0.02141,                0.90811,                      1,                 1.3317,               0.007426,               0.007426,               0.007426
                     29,                0.01991,                0.90811,                      1,                 1.3348,               0.007327,               0.007327,               0.007327
                     30,                0.01914,                0.89189,                      1,                 1.3376,               0.007228,               0.007228,               0.007228
                     31,                0.01831,                0.91351,                      1,                 1.3343,               0.007129,               0.007129,               0.007129
                     32,                0.01941,                0.88649,                      1,                 1.3398,                0.00703,                0.00703,                0.00703
                     33,                0.01748,                0.91892,                      1,                 1.3273,               0.006931,               0.006931,               0.006931
                     34,                0.01464,                0.91892,                      1,                 1.3317,               0.006832,               0.006832,               0.006832
                     35,                0.01691,                0.91892,                      1,                 1.3335,               0.006733,               0.006733,               0.006733
                     36,                 0.0178,                0.91351,                      1,                 1.3306,               0.006634,               0.006634,               0.006634
                     37,                0.01275,                0.88649,                      1,                  1.338,               0.006535,               0.006535,               0.006535
                     38,                0.01522,                 0.8973,                      1,                 1.3351,               0.006436,               0.006436,               0.006436
                     39,                0.01361,                0.89189,                      1,                 1.3359,               0.006337,               0.006337,               0.006337
                     40,                0.01293,                0.92432,                      1,                 1.3297,               0.006238,               0.006238,               0.006238
                     41,                 0.0116,                 0.8973,                      1,                 1.3306,               0.006139,               0.006139,               0.006139
                     42,                0.01194,                0.91351,                      1,                 1.3307,                0.00604,                0.00604,                0.00604
                     43,                0.01153,                0.92432,                      1,                 1.3226,               0.005941,               0.005941,               0.005941
                     44,                0.01094,                0.91892,                      1,                 1.3237,               0.005842,               0.005842,               0.005842
                     45,                0.01277,                0.92973,                      1,                 1.3232,               0.005743,               0.005743,               0.005743
                     46,                0.01089,                0.94595,                      1,                  1.318,               0.005644,               0.005644,               0.005644
                     47,                0.01112,                0.93514,                      1,                 1.3216,               0.005545,               0.005545,               0.005545
                     48,                 0.0092,                0.92432,                      1,                 1.3265,               0.005446,               0.005446,               0.005446
                     49,                0.00978,                0.93514,                      1,                  1.319,               0.005347,               0.005347,               0.005347
                     50,                 0.0101,                0.93514,                      1,                 1.3162,               0.005248,               0.005248,               0.005248
                     51,                0.01053,                0.92973,                0.99459,                 1.3203,               0.005149,               0.005149,               0.005149
                     52,                0.01054,                0.94595,                      1,                 1.3184,                0.00505,                0.00505,                0.00505
                     53,                0.01004,                0.92432,                      1,                 1.3244,               0.004951,               0.004951,               0.004951
                     54,                0.00841,                0.92432,                      1,                 1.3232,               0.004852,               0.004852,               0.004852
                     55,                0.00848,                0.92432,                      1,                 1.3234,               0.004753,               0.004753,               0.004753
                     56,                 0.0071,                0.92432,                      1,                 1.3226,               0.004654,               0.004654,               0.004654
                     57,                0.00794,                0.94054,                      1,                 1.3206,               0.004555,               0.004555,               0.004555
                     58,                0.00694,                0.92432,                      1,                 1.3272,               0.004456,               0.004456,               0.004456
                     59,                0.00787,                0.90811,                      1,                 1.3299,               0.004357,               0.004357,               0.004357
                     60,                0.00599,                0.90811,                      1,                 1.3322,               0.004258,               0.004258,               0.004258
                     61,                0.00678,                0.90811,                      1,                 1.3286,               0.004159,               0.004159,               0.004159
                     62,                0.00571,                0.91351,                      1,                 1.3297,                0.00406,                0.00406,                0.00406
                     63,                0.00526,                0.91892,                      1,                 1.3263,               0.003961,               0.003961,               0.003961
                     64,                0.00575,                0.91892,                      1,                 1.3245,               0.003862,               0.003862,               0.003862
                     65,                0.00618,                0.91892,                      1,                 1.3302,               0.003763,               0.003763,               0.003763
                     66,                0.00582,                0.92973,                      1,                 1.3257,               0.003664,               0.003664,               0.003664
                     67,                0.00599,                0.93514,                      1,                  1.321,               0.003565,               0.003565,               0.003565
                     68,                0.00486,                0.94054,                      1,                 1.3184,               0.003466,               0.003466,               0.003466
                     69,                0.00532,                0.94054,                      1,                 1.3187,               0.003367,               0.003367,               0.003367
                     70,                0.00456,                0.92973,                      1,                 1.3216,               0.003268,               0.003268,               0.003268
                     71,                 0.0044,                0.92432,                      1,                 1.3226,               0.003169,               0.003169,               0.003169
                     72,                0.00492,                0.92973,                      1,                 1.3232,                0.00307,                0.00307,                0.00307
                     73,                0.00535,                0.93514,                      1,                 1.3216,               0.002971,               0.002971,               0.002971
                     74,                0.00553,                0.93514,                      1,                  1.319,               0.002872,               0.002872,               0.002872
                     75,                0.00428,                0.94054,                      1,                 1.3201,               0.002773,               0.002773,               0.002773
                     76,                0.00418,                0.94054,                      1,                  1.319,               0.002674,               0.002674,               0.002674
                     77,                0.00424,                0.93514,                      1,                 1.3184,               0.002575,               0.002575,               0.002575
                     78,                0.00488,                0.94054,                      1,                  1.318,               0.002476,               0.002476,               0.002476
                     79,                0.00335,                0.94595,                      1,                 1.3177,               0.002377,               0.002377,               0.002377
                     80,                  0.004,                0.93514,                      1,                  1.319,               0.002278,               0.002278,               0.002278
                     81,                0.00333,                0.94054,                      1,                 1.3187,               0.002179,               0.002179,               0.002179
                     82,                0.00356,                0.94595,                      1,                 1.3177,                0.00208,                0.00208,                0.00208
                     83,                0.00341,                0.94595,                      1,                 1.3171,               0.001981,               0.001981,               0.001981
                     84,                0.00283,                0.95135,                      1,                 1.3171,               0.001882,               0.001882,               0.001882
                     85,                0.00329,                0.95135,                      1,                 1.3174,               0.001783,               0.001783,               0.001783
                     86,                0.00364,                0.95135,                      1,                 1.3172,               0.001684,               0.001684,               0.001684
                     87,                  0.003,                0.94054,                      1,                 1.3175,               0.001585,               0.001585,               0.001585
                     88,                0.00306,                0.94595,                      1,                 1.3166,               0.001486,               0.001486,               0.001486
                     89,                0.00423,                0.94595,                      1,                 1.3162,               0.001387,               0.001387,               0.001387
                     90,                0.00293,                0.94595,                      1,                 1.3166,               0.001288,               0.001288,               0.001288
                     87,                0.00305,                0.95135,                      1,                 1.3172,               0.001585,               0.001585,               0.001585
                     88,                0.00315,                0.95135,                      1,                 1.3184,               0.001486,               0.001486,               0.001486
                     89,                0.00274,                0.94054,                      1,                 1.3192,               0.001387,               0.001387,               0.001387
                     90,                0.00241,                0.93514,                      1,                 1.3197,               0.001288,               0.001288,               0.001288
                     89,                0.00377,                0.95135,                      1,                0.79109,               0.001387,               0.001387,               0.001387
                     90,                0.00426,                0.93514,                      1,                0.79159,               0.001288,               0.001288,               0.001288
                     90,                0.00227,                0.94595,                      1,                0.79109,               0.001288,               0.001288,               0.001288
